yyyymm,Index,D12,E12,b/m,tbl,AAA,BAA,lty,ntis,Rfree,infl,ltr,corpr,svar,csp,CRSP_SPvw,CRSP_SPvwx,MA_1_9,MA_1_12,MA_2_9,MA_2_12,MA_3_9,MA_3_12,MOM_1,MOM_2,MOM_3,MOM_6,MOM_9,MOM_12
196703,90.20 ,2.90000 ,5.45000 ,0.54955 ,0.04260 ,0.05130 ,0.05850 ,0.04550 ,0.01492 ,0.00390 ,0.00304 ,0.01980 ,0.01170 ,0.00050 ,0.00072 ,0.04114 ,0.03954 ,1,1,1,1,1,1,1,1,1,1,1,1
196704,94.01 ,2.90000 ,5.41000 ,0.53052 ,0.03840 ,0.05110 ,0.05830 ,0.04770 ,0.01505 ,0.00320 ,0.00303 ,-0.02910 ,-0.00710 ,0.00084 ,0.00058 ,0.04337 ,0.04254 ,1,1,1,1,1,1,1,1,1,1,1,1
196705,89.08 ,2.90000 ,5.37000 ,0.55820 ,0.03600 ,0.05240 ,0.05960 ,0.04820 ,0.01146 ,0.00330 ,0.00302 ,-0.00390 ,-0.02540 ,0.00089 ,0.00136 ,-0.04681 ,-0.05231 ,1,1,1,1,1,1,0,0,1,1,1,1
196706,90.64 ,2.90000 ,5.33000 ,0.55320 ,0.03540 ,0.05440 ,0.06150 ,0.05070 ,0.01015 ,0.00270 ,0.00301 ,-0.03120 ,-0.02230 ,0.00107 ,0.00173 ,0.01932 ,0.01802 ,1,1,1,1,1,1,1,0,1,1,1,1
196707,94.75 ,2.90670 ,5.32000 ,0.52630 ,0.04210 ,0.05580 ,0.06260 ,0.05050 ,0.00669 ,0.00310 ,0.00300 ,0.00680 ,0.00410 ,0.00022 ,0.00165 ,0.04645 ,0.04562 ,1,1,1,1,1,1,1,1,1,1,1,1
196708,93.64 ,2.91330 ,5.31000 ,0.52802 ,0.04270 ,0.05620 ,0.06330 ,0.05140 ,0.00584 ,0.00310 ,0.00299 ,-0.00840 ,-0.00070 ,0.00030 ,0.00208 ,-0.00682 ,-0.01220 ,1,1,1,1,1,1,0,1,1,1,1,1
196709,96.71 ,2.92000 ,5.30000 ,0.51356 ,0.04420 ,0.05650 ,0.06400 ,0.05170 ,0.00560 ,0.00320 ,0.00299 ,-0.00040 ,0.00940 ,0.00036 ,0.00226 ,0.03382 ,0.03260 ,1,1,1,1,1,1,1,1,1,1,1,1
196710,93.90 ,2.92000 ,5.31000 ,0.54096 ,0.04560 ,0.05820 ,0.06520 ,0.05490 ,0.00372 ,0.00390 ,0.00298 ,-0.04000 ,-0.02810 ,0.00044 ,0.00229 ,-0.02745 ,-0.02870 ,1,1,1,1,1,1,0,1,0,0,1,1
196711,94.00 ,2.92000 ,5.32000 ,0.54338 ,0.04730 ,0.06070 ,0.06720 ,0.05670 ,0.00277 ,0.00360 ,0.00297 ,-0.01960 ,-0.02720 ,0.00095 ,0.00285 ,0.00644 ,0.00053 ,1,1,1,1,1,1,1,0,1,1,1,1
196712,96.47 ,2.92000 ,5.33000 ,0.52579 ,0.04970 ,0.06190 ,0.06930 ,0.05560 ,0.01436 ,0.00330 ,0.00296 ,0.01920 ,0.01270 ,0.00027 ,0.00295 ,0.02708 ,0.02586 ,1,1,1,1,1,1,1,1,0,1,1,1
