Month,vrp,ogap,WTI,rdsp,sii
20084,13.4642,100.7238,0.067614983,3.269392731,1.8239
20085,13.2069,100.1399,0.113874578,2.982366075,1.5906
20086,24.1558,99.9141,0.067623604,3.475526032,1.5263
20087,2.866,99.4943,-0.003809382,5.993364903,1.7149
20088,15.7629,97.9367,-0.125215566,8.830145076,1.9979
20089,-9.4708,93.6585,-0.107654067,10.8779993,1.6042
200810,-218.5638,94.5845,-0.264143694,10.27184204,1.3028
200811,8.306,93.3455,-0.251925336,10.0464466,-0.1904
200812,-11.3457,90.7183,-0.282498691,10.37054174,-0.8058
20091,70.822,88.4683,0.014348249,11.03990554,-0.7839
20092,77.8161,87.936,-0.062814673,10.89406988,-1.2369
20093,31.003,86.5503,0.226400614,11.14265869,-1.2723
20094,38.9557,85.8598,0.035669587,11.87916425,-0.6804
20095,21.9618,84.9991,0.188922457,12.41230016,-1.0459
20096,24.9186,84.7277,0.179739116,11.95062084,-1.2088
20097,26.3099,85.7091,-0.078834003,8.749121158,-1.1341
20098,32.887,86.6333,0.107560405,6.582046826,-0.8412
20099,36.5844,87.3615,-0.023082336,3.98028022,-1.2629
200910,54.9727,87.5488,0.090909091,3.859350802,-1.3485
200911,24.6335,87.9144,0.02997887,3.132937307,-1.6162
200912,25.778,88.2318,-0.045133992,3.393208275,-1.4555
20101,35.8021,89.1936,0.051832953,3.210855175,-1.2509
20102,8.9274,89.5089,-0.024767011,3.160767426,-1.4814
20103,16.6244,90.1449,0.062966357,2.863953362,-1.1496
20104,27.6992,90.474,0.038054187,2.985486276,-1.1913
20105,-4.9741,91.7131,-0.125163127,3.052796116,-1.1911
20106,59.3896,91.9287,0.021697857,3.370913042,-1.2976
20107,14.9573,92.2737,0.013007698,2.893600237,-1.3654
20108,29.0573,92.615,0.003668763,2.856699504,-1.2602
20109,28.2687,92.8668,-0.017754569,2.503816149,-1.355
201010,22.6484,92.6138,0.088383838,2.65287227,-1.105
201011,26.8168,92.6772,0.028819148,2.641161302,-1.3275
201012,18.6383,93.5741,0.058160237,2.762624835,-1.4587
20111,24.2112,93.3793,0.000224341,2.763891869,-1.5404
20112,18.6508,93.0051,-0.006616575,2.554727921,-1.8016
20113,-1.7329,93.978,0.161210205,2.279102207,-1.6347
20114,7.4707,93.6525,0.064845421,2.14490974,-1.6184
20115,5.4421,93.7878,-0.078791199,2.093570037,-1.5139
20116,5.364,94.0378,-0.045986125,1.861989438,-1.3756
20117,36.5825,94.5146,0.010804072,1.933494764,-1.079
20118,-38.6148,95.1263,-0.11274409,2.254410303,-1.3192
20119,77.2966,95.0732,-0.009382602,2.689386715,-1.2541
201110,19.8831,95.7291,0.009354537,3.13318862,-0.9306
201111,2.5655,95.7455,0.12557924,2.985972431,-1.0736
201112,22.1362,96.2147,0.014409222,2.718460639,-1.3088
20121,17.5015,96.8051,0.017349838,2.66145668,-1.5533
20122,19.9323,97.1033,0.01924803,2.558803544,-1.4801
20123,11.2778,96.5973,0.038747554,2.593203309,-1.7827
20124,11.1367,97.3006,-0.026752072,2.180190635,-1.6777
20125,30.2724,97.5046,-0.083817267,2.33122763,-1.6099
20126,4.5996,97.4903,-0.130572576,2.452445527,-1.528
20127,13.6199,97.7234,0.068043742,2.697138057,-1.3063
20128,15.3676,97.313,0.070875995,2.555163945,-1.3626
20129,14.0605,97.2405,0.00403697,2.34152658,-1.4522
201210,17.6835,97.561,-0.053116072,2.300884074,-1.4707
201211,5.7418,97.9589,-0.033076321,2.290768262,-1.7172
201212,17.928,98.2061,0.015370392,2.324890135,-1.6475
20131,8.8522,98.199,0.078534031,2.128972548,-1.5969
20132,13.4413,98.6835,0.005804137,1.970546475,-1.7695
20133,5.4056,99.0994,-0.024866226,1.835334698,-1.727
20134,2.8809,98.9898,-0.009898859,1.833434565,-1.5828
20135,11.2259,99.0782,0.027059335,2.149754379,-1.5788
20136,4.4336,99.2141,0.013331923,2.282088061,-1.4167
20137,6.9345,98.9132,0.09293098,2.333851924,-1.4299
20138,16.0349,99.4891,0.018152288,1.989274657,-1.2822
20139,14.5738,100.0172,-0.002627381,2.018586497,-1.3864
201310,5.68,99.9038,-0.054097281,2.039901731,-1.1891
201311,11.1871,100.1479,-0.066441217,2.316404014,-1.2212
201312,9.5654,100.3576,0.040166205,2.185638024,-1.2829
20141,18.5216,99.9828,-0.030830687,2.413567763,-1.2627
20142,9.1573,100.7485,0.065525259,2.255007376,-1.194
20143,5.2474,101.7391,-0.000198373,2.63050949,-1.0421
20144,5.5559,101.8023,0.012599206,2.693752681,-0.9253
20145,5.3777,102.2116,0.001077692,2.721592472,-0.9802
20146,8.2195,102.5637,0.03532981,2.588686537,-0.8723
20147,17.2004,102.8425,-0.020795916,2.376638395,-0.7815
20148,5.5348,102.6499,-0.068056762,2.177070862,-0.7548
20149,15.8906,102.9647,-0.034493474,2.180248692,-0.749
201410,-10.8885,102.9704,-0.094517756,2.340917731,-0.7997
201411,10.9088,103.6017,-0.102014218,2.677632746,-0.5282
201412,17.5331,103.592,-0.217706821,2.770054417,-0.8097
20151,16.2958,102.798,-0.203575645,2.687014838,-0.9167
20152,7.9046,102.1554,0.07115629,2.565540542,-1.2151
20153,9.7785,101.8077,-0.054567023,2.339565613,-1.0952
20154,10.7024,101.2285,0.138644918,2.12973967,-1.0198
20155,9.1241,100.7536,0.088521579,2.263395732,-1.0521
20156,18.7258,100.4529,0.009279568,2.485548728,-0.9472
20157,0.9648,101.11,-0.149114009,2.98816081,-0.7891
20158,-11.7472,100.8802,-0.157760314,2.989816338,-0.8309
20159,16.2587,100.608,0.060881735,3.084426659,-0.8966
201510,4.276,100.151,0.016270888,2.692477758,-0.5973
201511,14.1915,99.3817,-0.081782778,2.78764817,-0.4665
201512,9.1229,98.8572,-0.123704053,2.689311265,-0.7968
20161,-15.816,99.4086,-0.148158107,3.189281019,-0.847
20162,2.0148,98.8946,-0.042929293,3.20937991,-0.7228
20163,5.078,98.1385,0.238456464,3.270185032,-0.6741
20164,12.6402,98.4364,0.085219707,2.937133808,-0.6687
20165,8.7618,98.2096,0.146257669,2.700424106,-0.6921
20166,0.0348,98.6766,0.043887818,2.688208812,-0.8341
20167,6.6532,98.8371,-0.084290402,2.50045232,-0.8681
20168,11.2992,98.7302,0.001567749,2.711262674,-0.6817
20169,5.6036,98.6287,0.010286225,2.896728643,-0.9432
201610,17.1324,98.7126,0.101814962,3.316077718,-0.7979
201611,6.3864,98.3004,-0.082764162,4.080503752,-0.9299
201612,12.5386,98.9063,0.138195357,3.864706318,-0.7214
20171,7.4651,98.7349,0.010198191,3.505179799,-0.9193
20172,10.9366,98.4178,0.01847619,2.69304205,-1.0135
20173,7.1965,99.0726,-0.077426594,2.592935649,-0.9991
20174,4.493,100.0545,0.035069937,2.54977767,-0.9999
20175,5.7031,100.139,-0.05052879,2.667689079,-0.9815
20176,5.9955,100.3148,-0.068069307,2.937886738,-1.0034
20177,5.8568,100.1418,0.032093847,2.772357654,-0.8249
20178,4.5638,99.6878,0.030238044,2.653963581,-0.8265
20179,4.9171,99.7829,0.037052456,2.686527193,-0.8928
201710,6.5894,101.0401,0.035327178,2.864055649,-0.664
201711,6.9722,101.226,0.098100039,2.664593424,-0.8857
201712,6.1073,101.3878,0.021892655,2.341855992,-0.864
20181,10.0329,101.345,0.100552868,2.416162599,-0.9958
20182,-5.9018,101.7068,-0.023076923,2.419178759,-1.0742
20183,8.6653,102.2785,0.00803471,2.398714231,-1.1642
20184,-1.9751,103.434,0.056113502,2.28470511,-1.135
20185,9.4048,102.4735,0.056301887,3.236206627,-1.1045
20186,13.2745,103.2508,-0.030151472,3.177254356,-1.0586
20187,8.1409,103.4588,0.045822897,3.13893251,-0.9341
20188,8.503,104.1802,-0.041138349,2.559217108,-0.951
20189,7.9528,104.1665,0.031883632,2.591961826,-1.1148
201810,-2.2509,104.0476,0.007404243,2.949972799,-1.1069
201811,2.7329,103.9603,-0.194911661,2.973348093,-1.0062
